MARITAL_STATUS,STATE,CREDIT_BALANCE,CUSTOMER_TENURE,MORTGAGE_AMOUNT,BANK_FUNDS,NUM_DEPENDENTS,HAS_CHILDREN,INCOME,GENDER,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOME_OWNERSHIP,NUM_ONLINE_TRANS,BUY_INSURANCE,MONTHLY_CHECKS,NUM_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,TOTAL_AUTOM_PAYMENTS,NUM_TRANS_TELLER,CHECKING_BALANCE,NUM_TRANS_ATM,LTV_BIN,NUM_MORTGAGES,CAR_OWNERSHIP
DIVORCED,California,0,1,2500,0,1,0,71584,M,Public Safety,1500,West,1,2500,No,0,1,40,53.06,0,1,25,0,VERY HIGH,1,1
SINGLE,Mississippi,0,3,348,500,3,0,61100,M,IT,1000,South,1,348,No,11,1,22,53.19,0,2,51,3,HIGH,1,1
SINGLE,New York,0,3,250,500,3,0,61249,M,IT,1000,NorthEast,1,250,Yes,16,1,19,53.04,0,2,25,2,HIGH,1,1
SINGLE,New York,0,3,0,251,3,0,69116,M,IT,1000,NorthEast,0,0,No,6,1,22,53.63,0,2,25,4,MEDIUM,0,0
MARRIED,New York,0,3,1200,850,3,1,67365,M,Undefined,1500,NorthEast,1,1200,No,4,1,26,53.58,330,3,195,4,MEDIUM,1,1
MARRIED,New York,0,3,1650,0,3,0,67330,M,Transportation,1500,NorthEast,1,1650,No,0,1,24,53.06,0,1,25,0,HIGH,1,1
SINGLE,Florida,0,3,0,500,3,0,61796,M,IT,1000,South,0,0,Yes,14,8,23,53.95,254,2,93,4,LOW,0,1
SINGLE,Michigan,0,3,0,0,3,0,66391,M,IT,1000,Midwest,0,0,No,0,1,22,53.25,0,1,25,3,MEDIUM,0,0
SINGLE,New York,0,1,0,4550,1,1,64851,M,Administrative and Clerical,1000,NorthEast,0,450,Yes,4,1,30,54.78,903,1,25,5,LOW,0,1
DIVORCED,Michigan,0,1,3000,2480,1,1,60610,F,IT,1500,Midwest,1,450,Yes,3,1,30,53.9,3078,1,2473,4,MEDIUM,1,1
SINGLE,Texas,0,3,0,0,3,0,69258,M,IT,1000,Southwest,0,0,No,11,4,30,53.08,0,1,25,1,MEDIUM,0,0
SINGLE,California,0,3,400,590,3,1,61384,M,Customer Service,1000,West,1,400,Yes,2,1,23,53.98,208,2,25,5,MEDIUM,1,1
DIVORCED,Washington,0,3,2050,650,3,1,63525,M,IT,1000,West,1,2050,Yes,13,3,22,54.35,242,2,25,5,MEDIUM,1,1
DIVORCED,New York,0,4,2500,700,1,0,71504,F,IT,1000,NorthEast,1,2500,No,1,1,42,53.79,393,3,118,4,VERY HIGH,1,1
WIDOWED,New York,0,4,8000,26600,1,1,67314,F,Education,900,NorthEast,1,5000,Yes,2,2,52,53.12,930,5,336,2,HIGH,1,1
SINGLE,Utah,0,2,0,0,0,0,67422,M,Undefined,2500,Southwest,0,0,No,0,5,48,53.06,0,0,25,0,HIGH,0,0
SINGLE,Utah,0,3,0,0,3,0,64518,M,Education,1500,Southwest,0,0,No,3,5,20,53.05,0,0,25,2,LOW,0,0
MARRIED,Utah,72,1,1200,800,1,0,60528,F,IT,2500,Southwest,1,250,No,13,5,48,52.99,360,3,100,2,HIGH,1,1
SINGLE,Utah,0,2,0,0,0,0,76928,M,Administrative and Clerical,1500,Southwest,0,0,No,0,5,27,53.09,0,0,25,1,HIGH,0,0
MARRIED,Utah,0,2,1106,200,2,0,74864,M,Public Safety,2500,Southwest,1,1106,No,5,5,46,53.04,0,1,25,2,VERY HIGH,1,1
SINGLE,Utah,0,3,200,0,3,0,62354,M,Undefined,1500,Southwest,1,200,No,0,5,26,53.06,0,0,25,0,HIGH,1,1
SINGLE,Utah,0,3,0,0,3,0,74769,M,IT,1500,Southwest,0,0,No,6,5,24,54.59,5562,0,25,5,MEDIUM,0,1
MARRIED,Utah,0,1,1000,250,1,0,56655,M,Undefined,2500,Southwest,1,1000,No,2,5,33,53.23,5285,2,5275,3,HIGH,1,1
SINGLE,Utah,0,2,0,0,2,0,66606,M,Customer Service,2500,Southwest,0,0,No,1,5,41,53.05,0,0,25,2,MEDIUM,0,0
SINGLE,Utah,0,1,0,0,1,0,78519,M,Education,2500,Southwest,0,0,No,0,5,39,53.06,0,0,25,0,HIGH,0,0
SINGLE,Utah,0,3,0,0,3,0,66744,M,Customer Service,1500,Southwest,0,0,No,0,5,21,53.06,0,0,25,0,MEDIUM,0,0
DIVORCED,Michigan,50987,5,4000,10300,1,1,60380,F,Undefined,900,Midwest,2,1000,No,8,0,68,56.25,55358,4,25,6,VERY HIGH,2,1
OTHER,Michigan,30893,1,15000,22000,1,0,67160,F,Administrative and Clerical,1600,Midwest,2,5000,No,1,0,63,54.27,31426,3,25,5,VERY HIGH,2,1
SINGLE,Florida,179,1,0,17001,1,0,63311,M,Administrative and Clerical,600,South,0,1,No,4,0,69,54.17,9561,5,2761,5,MEDIUM,0,1
MARRIED,Colorado,0,5,900,450,5,1,78689,F,Education,2500,West,1,900,Yes,3,4,33,53.11,211,2,25,2,MEDIUM,1,1
MARRIED,Mississippi,0,3,700,550,3,0,74255,M,Customer Service,1500,South,1,700,No,8,4,27,53.15,325,2,25,2,HIGH,1,1
DIVORCED,Nevada,0,1,2000,301,1,1,82816,M,Undefined,2500,Southwest,1,2000,No,2,4,31,53.68,507,2,25,4,HIGH,1,1
DIVORCED,New York,0,1,2000,950,1,0,53294,M,Undefined,2500,NorthEast,1,300,No,7,4,36,53.51,107,3,25,4,HIGH,1,1
SINGLE,New York,0,1,616,0,1,0,71859,M,Construction and Trades,2500,NorthEast,1,616,No,0,4,31,53.07,0,0,25,1,HIGH,1,1
SINGLE,New York,0,3,200,0,3,0,61764,M,Undefined,2500,NorthEast,1,200,No,0,4,43,53.06,0,0,25,0,HIGH,1,1
SINGLE,California,0,3,483,250,3,0,60605,M,Customer Service,1000,West,1,483,No,2,4,26,53.36,0,2,25,3,HIGH,1,1
MARRIED,California,0,3,1700,1300,3,1,71881,M,Undefined,1500,West,1,1700,No,2,2,31,55.49,9408,3,9398,5,MEDIUM,1,1
MARRIED,Nevada,0,1,1800,850,1,1,75086,M,Transportation,1500,Southwest,1,250,No,8,4,40,53.17,203,3,184,2,HIGH,1,1
SINGLE,Nevada,0,1,0,0,1,0,66239,M,Undefined,2500,Southwest,0,0,No,0,4,34,53.07,0,0,25,1,MEDIUM,0,0
DIVORCED,California,0,3,2000,0,3,1,62093,M,Undefined,1500,West,1,2000,No,1,1,40,52.71,113,1,25,2,MEDIUM,1,1
DIVORCED,New York,74838,1,3190,13300,1,1,62572,F,Education,800,NorthEast,1,3300,No,3,1,53,55.92,89079,4,14221,6,HIGH,1,1
DIVORCED,District of Columbia,0,4,2000,1950,1,1,71775,F,Transportation,1500,NorthEast,1,350,No,4,1,50,54.83,1645,1,1281,5,HIGH,1,1
MARRIED,North Carolina,0,1,710,0,1,0,67559,M,Childcare and Home,1000,South,1,710,No,2,1,30,53.05,0,1,25,2,HIGH,1,1
MARRIED,New York,0,3,700,500,3,0,62007,M,IT,1000,NorthEast,1,700,Yes,10,1,26,53.49,238,2,25,4,HIGH,1,1
SINGLE,California,0,3,273,0,3,0,60250,M,Administrative and Clerical,1000,West,1,273,No,0,1,30,53.06,0,0,25,0,HIGH,1,1
SINGLE,Florida,0,3,0,500,3,0,63002,M,IT,1000,South,0,0,No,14,2,19,53.23,0,2,25,3,LOW,0,0
SINGLE,Oregon,0,1,202,0,1,0,68679,M,IT,1000,West,1,202,No,2,1,22,53.05,0,0,25,2,HIGH,1,1
SINGLE,California,0,1,156,0,1,0,60891,M,Undefined,600,West,1,156,No,2,1,38,53.06,0,0,25,0,HIGH,1,1
DIVORCED,North Carolina,0,1,3000,1901,1,0,59828,M,Undefined,1500,South,1,1,No,2,1,33,52.14,1072,1,25,2,HIGH,1,1
SINGLE,California,0,3,0,500,3,0,64044,M,IT,1000,West,0,0,No,6,1,19,53.22,429,2,25,3,LOW,0,1
SINGLE,New York,0,3,250,0,3,0,66738,M,IT,1000,NorthEast,1,250,No,0,1,24,53.06,0,1,25,0,HIGH,1,1
SINGLE,Utah,0,1,0,0,1,0,83089,M,Undefined,2500,Southwest,0,0,No,0,5,42,53.05,0,0,25,2,HIGH,0,0
SINGLE,Utah,0,5,300,250,5,0,76453,F,IT,2500,Southwest,1,300,No,2,5,21,53.04,0,2,25,2,HIGH,1,1
SINGLE,Nevada,0,2,0,0,0,0,61230,M,Administrative and Clerical,500,Southwest,0,0,No,0,3,40,53.06,504,1,25,0,MEDIUM,0,1
DIVORCED,New York,0,4,3850,9850,6,1,66502,F,Childcare and Home,900,NorthEast,1,1500,Yes,1,3,46,54.08,1008,4,25,5,MEDIUM,1,1
MARRIED,New York,101297,1,5500,24700,1,0,65362,F,IT,900,NorthEast,1,3800,Yes,2,2,43,57.37,103646,7,25,6,HIGH,1,1
DIVORCED,Michigan,0,3,3000,2800,3,0,68419,M,Undefined,900,Midwest,1,3000,No,3,0,28,53.27,3382,1,25,3,HIGH,1,1
DIVORCED,Michigan,0,3,2700,2450,3,1,62196,M,IT,1500,Midwest,1,300,Yes,2,3,31,53.37,582,1,37,3,MEDIUM,1,1
DIVORCED,New York,0,1,2200,3858,1,0,63370,M,Undefined,1400,NorthEast,1,858,Yes,6,3,52,54.15,1074,1,25,5,HIGH,1,1
MARRIED,Michigan,0,1,6000,4201,1,1,65365,F,IT,1100,Midwest,2,1,No,4,3,35,53.78,6425,1,33,4,VERY HIGH,2,1
DIVORCED,Michigan,0,3,2000,3150,3,1,56647,M,Transportation,1500,Midwest,1,750,No,17,3,29,54.26,2566,1,25,5,MEDIUM,1,1
SINGLE,Michigan,0,4,600,1070,3,1,58278,M,Undefined,900,Midwest,1,600,Yes,2,9,51,54.27,1038,3,25,5,MEDIUM,1,1
MARRIED,Michigan,0,3,1236,0,3,0,73906,M,Childcare and Home,1500,Midwest,1,1236,No,5,0,29,53.09,725,2,218,1,HIGH,1,1
DIVORCED,New York,0,1,2600,3500,1,1,63970,F,Education,800,NorthEast,1,1500,No,2,6,46,54.02,2870,2,1436,5,HIGH,1,1
DIVORCED,New York,0,2,4700,0,2,1,82696,F,IT,3500,NorthEast,1,4700,No,1,0,44,53.08,823,1,25,1,HIGH,1,1
MARRIED,Michigan,0,3,1150,900,3,1,60186,M,Customer Service,500,Midwest,1,1150,Yes,2,0,28,53.23,3045,3,2441,3,MEDIUM,1,1
SINGLE,New York,0,2,0,0,0,1,61060,M,Administrative and Clerical,900,NorthEast,0,0,No,0,0,58,53.06,504,1,25,0,MEDIUM,0,1
MARRIED,California,0,1,840,0,1,1,64189,M,Healthcare,1500,West,2,840,No,0,0,37,53.06,0,1,25,0,VERY HIGH,2,1
MARRIED,Oklahoma,0,5,1000,0,5,0,71374,F,IT,1000,Midwest,1,1000,No,7,1,25,53.14,1262,1,25,2,HIGH,1,1
SINGLE,Utah,0,3,0,0,3,0,63476,M,IT,1500,Southwest,0,0,No,2,5,20,53.04,0,0,25,2,LOW,0,0
DIVORCED,Michigan,0,1,2500,5800,1,1,61715,M,Customer Service,1000,Midwest,1,1000,Yes,4,3,31,56.97,3677,1,25,6,HIGH,1,1
MARRIED,New York,0,3,700,650,3,0,54926,M,Healthcare,1500,NorthEast,1,700,No,18,4,21,53.54,172,2,127,4,MEDIUM,1,1
SINGLE,New York,0,3,0,0,3,0,57742,M,Undefined,1500,NorthEast,0,0,No,1,4,19,53.06,0,0,25,0,LOW,0,0
SINGLE,Illinois,0,3,0,0,3,0,65618,M,IT,1500,Midwest,0,0,No,0,4,23,53.06,0,0,25,0,MEDIUM,0,0
MARRIED,Michigan,0,1,750,250,1,0,61649,M,Construction and Trades,1500,Midwest,1,750,No,2,4,29,53.08,0,2,59,1,HIGH,1,1
SINGLE,New York,0,2,0,0,0,0,84768,M,Undefined,2500,NorthEast,0,0,No,0,4,67,53.06,0,0,25,0,HIGH,0,0
SINGLE,New York,0,3,0,500,3,0,57833,M,IT,1000,NorthEast,0,0,Yes,4,6,20,53.44,179,2,25,4,LOW,0,1
SINGLE,Utah,0,3,0,250,3,0,56568,M,IT,1500,Southwest,0,0,No,3,5,20,52.98,151,2,25,2,LOW,0,1
MARRIED,New York,63,3,1200,750,3,1,58261,M,Undefined,1500,NorthEast,1,1200,No,15,1,33,53.38,4364,3,3879,3,MEDIUM,1,1
MARRIED,Nevada,0,3,1091,1400,3,0,68632,M,Customer Service,1000,Southwest,1,1091,Yes,10,1,27,53.02,510,3,25,2,HIGH,1,1
SINGLE,Michigan,0,4,0,0,0,1,59234,M,Administrative and Clerical,600,Midwest,0,0,No,5,1,38,52.97,1203,0,25,2,MEDIUM,0,1
OTHER,Texas,0,1,15000,11800,1,1,67748,F,Administrative and Clerical,1600,Southwest,1,5000,No,2,3,37,54.2,4096,2,25,5,HIGH,1,1
SINGLE,Minnesota,0,1,319,0,1,1,57734,M,IT,900,West,1,319,No,0,3,27,53.06,507,1,25,0,MEDIUM,1,1
MARRIED,New York,0,1,5000,15100,1,1,66366,F,IT,900,NorthEast,2,2500,No,8,3,45,53.23,4756,5,3983,3,VERY HIGH,2,1
WIDOWED,New York,0,4,6000,24100,3,1,68283,F,Administrative and Clerical,1500,NorthEast,1,3700,Yes,4,3,49,55.04,11255,5,10180,5,HIGH,1,1
MARRIED,New York,0,1,1708,401,1,1,61987,F,Public Safety,500,NorthEast,1,1708,No,0,3,29,53.28,568,2,25,3,MEDIUM,1,1
SINGLE,California,0,2,0,0,0,0,63055,M,Construction and Trades,700,West,0,0,No,0,3,39,53.07,506,0,25,1,MEDIUM,0,1
WIDOWED,District of Columbia,0,4,5000,6000,3,1,47436,M,IT,3500,NorthEast,1,1500,No,4,3,50,55.48,16276,2,25,5,MEDIUM,1,1
DIVORCED,California,0,1,2653,3950,1,1,58558,F,Undefined,1500,West,1,750,Yes,2,8,37,54.44,2093,1,25,5,MEDIUM,1,1
SINGLE,Michigan,0,2,0,1601,0,1,65846,M,Administrative and Clerical,600,Midwest,0,501,No,5,3,50,53.19,1457,3,942,3,MEDIUM,0,1
SINGLE,New York,0,2,0,0,0,0,69333,M,Administrative and Clerical,900,NorthEast,0,0,No,2,3,52,53.09,660,1,156,1,HIGH,0,1
DIVORCED,California,0,2,4000,7750,1,1,62445,F,IT,1500,West,1,1300,Yes,5,3,37,54.39,1085,1,25,5,HIGH,1,1
SINGLE,New York,0,2,0,0,0,0,67137,M,Undefined,600,NorthEast,0,0,No,1,3,38,53.07,506,1,25,1,MEDIUM,0,1
MARRIED,Michigan,0,1,5000,16050,1,1,65823,F,IT,500,Midwest,1,2500,Yes,4,3,43,56.78,3668,5,25,6,HIGH,1,1
MARRIED,New York,543,4,12000,18000,1,1,70571,F,Administrative and Clerical,900,NorthEast,1,5000,No,1,3,47,53.42,6505,5,25,4,HIGH,1,1
SINGLE,New York,0,1,524,2320,1,1,62631,F,Undefined,600,NorthEast,1,720,Yes,13,3,58,53.71,1476,1,25,4,HIGH,1,1
MARRIED,California,0,5,5000,15000,1,1,68098,M,IT,900,West,1,2500,No,18,10,37,52.92,3201,5,25,2,HIGH,1,1
MARRIED,Michigan,0,1,5220,16050,1,1,59043,F,Undefined,900,Midwest,1,2500,No,3,3,35,53.38,7646,3,7092,3,MEDIUM,1,1
MARRIED,Michigan,0,1,1400,1650,1,0,63967,F,Construction and Trades,1100,Midwest,1,250,No,15,0,30,53.78,852,3,247,4,HIGH,1,1
SINGLE,Michigan,0,2,0,0,0,0,65654,M,Childcare and Home,600,Midwest,0,0,No,0,3,40,53.06,506,0,25,0,MEDIUM,0,1
DIVORCED,California,0,3,2120,3023,3,1,66620,M,Childcare and Home,1000,West,2,741,No,2,6,48,53.83,1534,1,1503,4,VERY HIGH,2,1
MARRIED,Texas,0,1,837,750,1,1,59984,F,Healthcare,500,Southwest,1,350,Yes,4,1,28,53.23,813,3,25,3,MEDIUM,1,1
MARRIED,Michigan,0,1,8320,11050,1,1,72308,F,Healthcare,4000,Midwest,1,1700,Yes,14,1,33,53.97,650,4,25,5,HIGH,1,1
MARRIED,Michigan,0,1,1000,0,1,1,64710,M,IT,700,Midwest,1,1000,No,4,1,38,53.17,383,0,374,2,HIGH,1,1
OTHER,New York,0,5,15000,8300,5,1,84318,F,IT,4000,NorthEast,1,2700,Yes,2,2,29,57.44,5322,4,25,6,MEDIUM,1,1
SINGLE,New York,0,2,0,0,0,0,55169,M,Healthcare,2500,NorthEast,0,0,No,0,2,42,53.06,0,0,25,0,MEDIUM,0,0
DIVORCED,New York,0,2,2000,0,0,0,68002,M,Undefined,1500,NorthEast,1,2000,No,1,2,29,53.07,549,1,25,1,VERY HIGH,1,1
SINGLE,New York,0,3,0,201,3,1,60602,M,Customer Service,1000,NorthEast,0,0,No,3,10,30,53.47,5760,1,5065,4,LOW,0,1
DIVORCED,Mississippi,33891,1,4000,8600,1,1,61257,F,IT,1300,South,1,2000,Yes,4,1,53,55.75,35532,4,25,6,HIGH,1,1
DIVORCED,New York,0,3,2000,4250,3,1,71363,M,Undefined,1500,NorthEast,1,600,No,4,2,32,53.2,811,1,25,3,MEDIUM,1,1
SINGLE,California,0,2,0,2620,0,0,64122,M,IT,1000,West,0,720,Yes,1,2,0,53.54,887,1,25,4,LOW,0,1
DIVORCED,Mississippi,5056,1,2850,7000,1,1,64671,F,Healthcare,500,South,1,2000,No,2,2,45,55.43,6690,4,202,5,HIGH,1,1
SINGLE,New York,0,2,0,0,0,1,62789,M,IT,900,NorthEast,0,0,No,0,2,33,53.06,534,0,25,0,MEDIUM,0,1
DIVORCED,Michigan,0,4,4000,3900,6,1,87333,F,Undefined,4000,Midwest,1,4000,No,12,1,0,53.24,989,1,221,3,LOW,1,1
MARRIED,New York,0,3,1000,13825,3,1,63010,M,Administrative and Clerical,900,NorthEast,1,4225,No,9,2,31,54.09,25526,4,25,5,MEDIUM,1,1
MARRIED,New York,0,5,1500,0,5,1,65261,F,Creative Media,800,NorthEast,1,1500,No,1,2,70,53.5,509,1,25,4,MEDIUM,1,1
DIVORCED,Oklahoma,0,4,3000,251,3,0,60975,F,Customer Service,500,Midwest,1,3000,No,18,2,49,52.95,951,2,25,2,HIGH,1,1
MARRIED,New York,0,3,759,450,3,0,61075,M,Undefined,500,NorthEast,1,759,No,17,1,29,53.07,1673,2,1162,1,HIGH,1,1
MARRIED,Alabama,0,1,7175,17050,1,1,64873,F,Administrative and Clerical,500,South,1,2500,Yes,15,2,40,60.64,7818,5,25,7,HIGH,1,1
SINGLE,New York,0,2,0,0,0,0,67126,M,Construction and Trades,1000,NorthEast,0,0,No,0,2,0,53.06,0,0,25,0,LOW,0,0
DIVORCED,Michigan,28092,4,3500,3300,6,1,58342,F,IT,900,Midwest,1,3500,Yes,4,2,51,54.25,34711,1,5848,5,MEDIUM,1,1
DIVORCED,California,95,1,3480,7800,1,1,64910,F,Undefined,1300,West,1,1300,No,4,7,51,53.36,12046,3,10873,3,HIGH,1,1
SINGLE,New York,0,4,500,4200,3,0,66533,M,Administrative and Clerical,900,NorthEast,1,1000,No,11,8,34,53.92,2574,2,1530,4,HIGH,1,1
WIDOWED,New York,0,1,5500,19200,1,1,84298,F,Undefined,5000,NorthEast,1,3800,Yes,3,2,61,53.8,3974,4,2357,4,VERY HIGH,1,1
WIDOWED,New York,0,1,8000,25000,1,1,72486,F,Administrative and Clerical,5000,NorthEast,1,5000,Yes,4,9,56,53.04,1325,6,25,2,HIGH,1,1
MARRIED,New York,0,3,700,250,3,0,60305,M,Childcare and Home,1000,NorthEast,1,700,Yes,4,1,26,52.95,615,2,25,2,HIGH,1,1
DIVORCED,New York,0,1,2000,2400,1,1,66909,M,Education,900,NorthEast,1,400,No,4,2,37,53.76,3783,4,2894,4,HIGH,1,1
WIDOWED,Michigan,0,1,8000,0,1,1,86998,M,Public Safety,4000,Midwest,1,8000,No,1,2,60,53.08,554,1,47,1,VERY HIGH,1,1
DIVORCED,Michigan,0,5,3100,9200,5,1,65502,F,IT,900,Midwest,1,3000,No,8,4,51,53.84,8594,4,8073,4,MEDIUM,1,1
DIVORCED,New York,27186,4,3000,9800,1,0,54472,F,Healthcare,2200,NorthEast,1,3000,No,2,1,44,54.49,31627,2,1640,5,HIGH,1,1
DIVORCED,North Carolina,0,4,4000,8800,6,1,61332,F,Undefined,800,South,1,1600,Yes,1,1,66,54.97,1923,4,25,5,MEDIUM,1,1
MARRIED,Texas,0,3,845,450,3,1,62061,M,IT,1500,Southwest,1,845,Yes,8,6,26,53.01,226,2,25,2,MEDIUM,1,1
SINGLE,Nevada,0,2,0,0,0,0,74394,M,Customer Service,1500,Southwest,0,0,No,0,1,0,53.06,0,0,25,0,LOW,0,0
DIVORCED,New York,0,5,4500,4000,5,1,86087,F,Healthcare,3000,NorthEast,1,1300,Yes,2,2,34,54.78,2369,1,342,5,HIGH,1,1
SINGLE,Utah,0,2,0,0,0,0,66266,M,Healthcare,1500,Southwest,0,0,No,1,2,0,53.07,616,0,25,1,LOW,0,1
MARRIED,New York,0,5,1800,0,5,1,68542,F,Transportation,900,NorthEast,1,1800,No,17,0,36,53.17,617,1,107,2,MEDIUM,1,1
DIVORCED,California,1391,4,2500,2801,4,1,60992,F,Undefined,500,West,1,1,No,15,4,42,53.36,5808,4,3581,3,MEDIUM,1,1
DIVORCED,Florida,70443,1,2000,2400,1,0,67670,F,Childcare and Home,1000,South,1,400,No,15,2,43,56.31,71419,5,25,6,HIGH,1,1
DIVORCED,New York,0,1,2560,7800,1,1,64260,F,Creative Media,900,NorthEast,1,1200,No,3,2,63,53.89,11312,4,9359,4,HIGH,1,1
SINGLE,New York,0,2,0,0,0,1,60127,M,Finance,700,NorthEast,0,0,No,16,2,33,53.21,1626,0,93,3,MEDIUM,0,1
MARRIED,New York,0,4,16071,11300,3,1,65541,M,IT,1000,NorthEast,1,5000,No,2,2,65,54.62,43692,4,7710,5,HIGH,1,1
DIVORCED,New York,0,2,2000,0,0,0,66712,M,Healthcare,500,NorthEast,1,2000,No,8,2,0,54.23,22181,1,19520,5,LOW,1,1
MARRIED,Louisiana,0,4,1000,0,4,0,65947,F,Construction and Trades,500,South,1,1000,No,10,2,47,53.34,7880,1,7333,3,HIGH,1,1
MARRIED,California,0,4,1000,250,4,1,62671,F,Creative Media,700,West,1,1000,No,2,5,58,53.4,1087,2,25,4,MEDIUM,1,1
DIVORCED,California,0,2,2500,0,6,1,58873,M,Finance,800,West,1,2500,No,6,2,66,53.25,1991,1,25,3,MEDIUM,1,1
MARRIED,New York,0,2,1000,251,2,1,70117,M,Administrative and Clerical,900,NorthEast,1,1000,No,3,1,31,53.42,3613,2,3104,4,HIGH,1,1
MARRIED,New York,0,3,1000,850,3,0,64000,M,Undefined,900,NorthEast,1,1000,Yes,4,2,26,53.64,772,3,25,4,HIGH,1,1
SINGLE,Colorado,0,2,255,0,0,0,59720,M,Childcare and Home,1000,West,1,255,No,3,1,50,53.08,630,1,25,1,VERY HIGH,1,1
SINGLE,New York,0,2,0,0,0,0,66612,M,Undefined,900,NorthEast,0,0,No,1,2,32,53.08,541,0,34,1,MEDIUM,0,1
MARRIED,Nevada,0,1,1500,3070,1,1,72642,F,Customer Service,1500,Southwest,1,1000,Yes,3,1,55,55.08,2312,1,25,5,HIGH,1,1
DIVORCED,Florida,0,4,4000,8100,1,1,59972,F,IT,500,South,1,1500,Yes,12,2,36,56.23,4169,4,116,6,HIGH,1,1
